Team,Standing,Total goals,Average scored,Total goals against,Average conceded,Total attempts,Avgattempspergame,AttemptsOtarget,Attemptsoftarget,Attemptsblocked,Atmptsagainstwoodwork,PA,PC,PCP,Ballposs,Tcorners,Avgcorners,Tcorneragainst,Avgcornersagainst,Offsides,Foulscommitted,Foulssuffered,Yellowcards,Redcards
Albania,3,1,0.33,3,1,30,10,8,12,10,1,1052,855,0.81,0.42,15,5,12,4,8,35,43,10,1
Austria,4,1,0.33,4,1.33,40,13.33,10,17,13,2,1367,1153,0.84,0.51,11,3.67,17,5.67,4,36,39,7,1
Belgium,2,4,1.33,2,0.67,59,19.67,17,23,19,0,1338,1137,0.85,0.54,25,8.33,14,4.67,8,32,31,4,0
Croatia,1,5,1.67,3,1,50,16.67,16,26,8,3,1024,840,0.82,0.48,19,6.33,12,4,2,38,39,8,0
Czech Republic,4,2,0.67,5,1.67,27,9,12,8,7,1,951,750,0.79,0.43,13,4.33,28,9.33,5,43,35,5,0
England,2,3,1,2,0.67,65,21.67,15,26,24,0,1476,1316,0.89,0.58,26,8.67,7,2.33,8,31,31,2,0
France,1,4,1.33,1,0.33,48,16,11,19,18,4,1365,1178,0.86,0.53,21,7,13,4.33,6,32,32,4,0
Germany,1,3,1,0,0,59,19.67,21,26,12,3,1967,1794,0.91,0.66,20,6.67,17,5.67,7,32,27,3,0
Hungary,1,6,2,4,1.33,37,12.33,17,13,7,1,1301,1111,0.85,0.53,12,4,16,5.33,5,46,33,8,0
Iceland,2,4,1.33,3,1,21,7,9,7,5,1,664,481,0.72,0.35,8,2.67,23,7.67,5,42,34,9,0
Italy,1,3,1,1,0.33,24,8,9,9,6,2,1236,998,0.81,0.48,17,5.67,16,5.33,1,49,43,10,0
Northern Ireland,3,2,0.67,2,0.67,17,5.67,8,5,4,0,635,432,0.68,0.34,7,2.33,16,5.33,5,36,30,4,0
Poland,2,2,0.67,0,0,34,11.33,7,14,13,0,991,805,0.81,0.44,12,4,12,4,6,32,46,6,0
Portugal,3,4,1.33,4,1.33,69,23,22,28,19,2,1634,1461,0.89,0.61,30,10,5,1.67,12,32,43,2,0
Republic of Ireland,3,2,0.67,4,1.33,32,10.67,10,16,6,1,914,699,0.76,0.47,13,4.33,14,4.67,4,40,41,5,0
Romania,4,2,0.67,3,1,40,13.33,9,19,12,2,1046,825,0.79,0.46,10,3.33,18,6,3,52,29,10,0
Russia,4,2,0.67,6,2,34,11.33,6,17,11,0,1388,1181,0.85,0.53,14,4.67,16,5.33,3,33,27,2,0
Slovakia,3,3,1,3,1,26,8.67,7,13,6,1,1169,967,0.83,0.46,8,2.67,19,6.33,9,35,36,7,0
Spain,2,5,1.67,2,0.67,50,16.67,14,22,14,0,2023,1876,0.93,0.61,28,9.33,9,3,9,37,33,1,0
Sweden,4,1,0.33,3,1,24,8,4,12,8,0,1200,973,0.81,0.52,13,4.33,24,8,8,39,38,4,0
Switzerland,2,2,0.67,1,0.33,42,14,13,15,14,1,1573,1416,0.9,0.58,16,5.33,19,6.33,15,37,42,4,0
Turkey,3,2,0.67,4,1.33,26,8.67,4,15,7,0,1110,903,0.81,0.48,9,3,20,6.67,10,40,45,7,0
Ukraine,4,0,0,5,1.67,43,14.33,13,19,11,0,1346,1147,0.85,0.56,17,5.67,11,3.67,7,46,35,5,0
Wales,1,6,2,3,1,37,12.33,21,11,5,0,1008,823,0.82,0.44,10,3.33,16,5.33,4,33,35,2,0
